HardwareVendor,SystemEnclosure,Nodes,JVMVendor,Processor,MHz,Chips,Cores,TotalThreads,TotalMemoryGB,OverallPowerUsageWatt,SystemEnclosure_split,SystemEnclosure_len,year,SystemEnclosure_cleaned,Processor_general
ASUSTeK Computer Inc.,"RS720-E9/RS8  Dec 6, 2018 | HTML | Text",1,Oracle,Intel Xeon Platinum 8180,2500,2,56,112,192,12727,"['RS720-E9/RS8  Dec 6', ' 2018 ']",2, 2018 ,RS720-E9/RS8 ,Intel
ASUSTeK Computer Inc.,"RS720Q-E9-RS8 None  May 10, 2019 | HTML | Text",4,Oracle,Intel Xeon Platinum 8176M,2100,8,224,448,768,11935,"['RS720Q-E9-RS8 None  May 10', ' 2019 ']",2, 2019 ,RS720Q-E9-RS8 None  ,Intel
ASUSTeK Computer Inc.,"RS720-E9-RS8  Jul 3, 2019 | HTML | Text",1,Oracle,Intel Xeon Platinum 8280L,2700,2,56,112,192,14066,"['RS720-E9-RS8  Jul 3', ' 2019 ']",2, 2019 ,RS720-E9-RS8 ,Intel
ASUSTeK Computer Inc.,"RS720-E9-RS8  Jul 17, 2019 | HTML | Text",1,Oracle,Intel Xeon Platinum 8280L,2700,2,56,112,192,14274,"['RS720-E9-RS8  Jul 17', ' 2019 ']",2, 2019 ,RS720-E9-RS8  ,Intel
ASUSTeK Computer Inc.,"RS500A-E10-PS4  Jan 21, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,20908,"['RS500A-E10-PS4  Jan 21', ' 2020 ']",2, 2020 ,RS500A-E10-PS4  ,AMD
ASUSTeK Computer Inc.,"RS500A-E10-PS4  Jan 21, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,1,64,128,128,21168,"['RS500A-E10-PS4  Jan 21', ' 2020 ']",2, 2020 ,RS500A-E10-PS4  ,AMD
ASUSTeK Computer Inc.,"RS700A-E9-RS4V2  Apr 8, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,20214,"['RS700A-E9-RS4V2  Apr 8', ' 2020 ']",2, 2020 ,RS700A-E9-RS4V2 ,AMD
ASUSTeK Computer Inc.,"RS700A-E9-RS4V2  Apr 8, 2020 | HTML | Text",1,Oracle,AMD EPYC 7742 2.25Ghz,2250,2,128,256,256,20350,"['RS700A-E9-RS4V2  Apr 8', ' 2020 ']",2, 2020 ,RS700A-E9-RS4V2 ,AMD
ASUSTeK Computer Inc.,"RS620SA-E10-RS12 RS620SA-E10  Oct 7, 2020 | HTML | Text",6,Oracle,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,24238,"['RS620SA-E10-RS12 RS620SA-E10  Oct 7', ' 2020 ']",2, 2020 ,RS620SA-E10-RS12 RS620SA-E10 ,AMD
ASUSTeK Computer Inc.,"RS620SA-E10-RS12 RS620SA-E10  Oct 7, 2020 | HTML | Text",6,Oracle,AMD EPYC 7742 2.25Ghz,2250,6,384,768,768,24507,"['RS620SA-E10-RS12 RS620SA-E10  Oct 7', ' 2020 ']",2, 2020 ,RS620SA-E10-RS12 RS620SA-E10 ,AMD
ASUSTeK Computer Inc.,"RS720-E10-R12  Jan 19, 2022 | HTML | Text",1,Oracle,Intel Xeon Platinum 8380,2300,2,80,160,256,13600,"['RS720-E10-R12  Jan 19', ' 2022 ']",2, 2022 ,RS720-E10-R12  ,Intel
ASUSTeK Computer Inc.,"RS700A-E11-RS4U  Jul 13, 2022 | HTML | Text",1,Oracle,AMD EPYC 7763,2450,2,128,256,256,25252,"['RS700A-E11-RS4U  Jul 13', ' 2022 ']",2, 2022 ,RS700A-E11-RS4U  ,AMD
ASUSTeK Computer Inc.,"RS700A-E11-RS4U  Jul 13, 2022 | HTML | Text",1,Oracle,AMD EPYC 7763,2450,2,128,256,256,25302,"['RS700A-E11-RS4U  Jul 13', ' 2022 ']",2, 2022 ,RS700A-E11-RS4U  ,AMD
ASUSTeK Computer Inc.,"RS720A-E12-RS12  Dec 21, 2022 | HTML | Text",1,Oracle,AMD EPYC 9654,2400,2,192,384,384,30064,"['RS720A-E12-RS12  Dec 21', ' 2022 ']",2, 2022 ,RS720A-E12-RS12  ,AMD
ASUSTeK Computer Inc.,"RS720A-E12-RS12  Dec 21, 2022 | HTML | Text",1,Oracle,AMD EPYC 9654,2400,2,192,384,384,30602,"['RS720A-E12-RS12  Dec 21', ' 2022 ']",2, 2022 ,RS720A-E12-RS12  ,AMD
ASUSTeK Computer Inc.,"RS720A-E12-RS12  Jun 21, 2023 | HTML | Text",1,Oracle,AMD EPYC 9754,2250,2,256,512,384,34294,"['RS720A-E12-RS12  Jun 21', ' 2023 ']",2, 2023 ,RS720A-E12-RS12  ,AMD
ASUSTeK Computer Inc.,"RS720A-E12-RS12  Jun 21, 2023 | HTML | Text",1,Oracle,AMD EPYC 9754,2250,2,256,512,384,33609,"['RS720A-E12-RS12  Jun 21', ' 2023 ']",2, 2023 ,RS720A-E12-RS12  ,AMD
ASUSTeK Computer Inc.,"ESC4000-E11  Nov 8, 2023 | HTML | Text",1,Oracle,Intel Xeon Platinum 8490H,1900,2,120,240,256,16603,"['ESC4000-E11  Nov 8', ' 2023 ']",2, 2023 ,ESC4000-E11 ,Intel
ASUSTeK Computer Inc.,"ESC4000-E11  Nov 8, 2023 | HTML | Text",1,Oracle,Intel Xeon Platinum 8490H,1900,2,120,240,256,17190,"['ESC4000-E11  Nov 8', ' 2023 ']",2, 2023 ,ESC4000-E11 ,Intel
ASUSTeK Computer Inc.,"RS720A-E12-RS12  Jan 12, 2024 | HTML | Text",1,Oracle,AMD EPYC 9754,2250,2,256,512,384,36210,"['RS720A-E12-RS12  Jan 12', ' 2024 ']",2, 2024 ,RS720A-E12-RS12  ,AMD
ASUSTeK Computer Inc.,"RS720A-E12-RS12  Jan 12, 2024 | HTML | Text",1,Oracle,AMD EPYC 9754,2250,2,256,512,384,34859,"['RS720A-E12-RS12  Jan 12', ' 2024 ']",2, 2024 ,RS720A-E12-RS12  ,AMD
ASUSTeK Computer Inc.,"ESC4000-E11  Jun 18, 2024 | HTML | Text",1,Oracle,Intel Xeon Platinum 8592+,1900,2,128,256,256,20408,"['ESC4000-E11  Jun 18', ' 2024 ']",2, 2024 ,ESC4000-E11  ,Intel
ASUSTeK Computer Inc.,"ESC4000-E11  Jun 18, 2024 | HTML | Text",1,Oracle,Intel Xeon Platinum 8592+,1900,2,128,256,256,19676,"['ESC4000-E11  Jun 18', ' 2024 ']",2, 2024 ,ESC4000-E11  ,Intel
